id,menu_name,img_path
1,디카페인 아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 아메리카노.jpg
2,디카페인 꿀아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 꿀아메리카노.jpg
3,디카페인 헤이즐넛아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 헤이즐넛 아메리카노.jpg
4,디카페인 바닐라아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 바닐라 아메리카노.jpg
5,디카페인 카페라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 카페라떼.jpg
6,디카페인 바닐라라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 바닐라라떼.jpg
7,디카페인 연유라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_디카페인 연유라떼.jpg
8,디카페인 카라멜마끼아또,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 카라멜마끼아또.jpg
9,디카페인 카페모카,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_디카페인 카페모카.jpg
10,디카페인 카푸치노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 카푸치노.jpg
11,디카페인 헤이즐넛라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 헤이즐넛 라떼.jpg
12,디카페인 티라미수라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_디카페인 티라미수라떼.jpg
13,디카페인 메가리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 메가리카노.jpg
14,디카페인 아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 아메리카노.jpg
15,디카페인 꿀아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 꿀아메리카노.jpg
16,디카페인 헤이즐넛 아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\디카페인 헤이즐넛 아메리카노.jpg
17,디카페인 바닐라 아메리카노,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\디카페인 바닐라 아메리카노.jpg
18,디카페인 카페라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 카페라떼.jpg
19,디카페인 바닐라라떼,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_디카페인 바닐라라떼.jpg
