id,category,category_num,degree,menu_name,price,info,cinnamon,whip,strong_or_weak,syrup_add,light_vanilia_add,stevia_changed,stevia_add,honey_add,choose_milk,choose_topping,zero_cider_changed
1,디카페인,1,HOT,디카페인 아메리카노,2500,향과 풍미 그대로 카페인만을 낮춰 민감한 분들도 안심하고 매일매일 즐길 수 있는 디카페인 커피,0,0,"1,2,5",0,0,0,"1,12",0,0,0,0
2,디카페인,2,HOT,디카페인 꿀아메리카노,3700,디카페인 아메리카노의 묵직한 바디감에 달콤한 사양벌꿀이 소프트하게 어우러진 커피.,0,0,"1,2,5",0,0,0,0,"1,15",0,0,0
3,디카페인,3,HOT,디카페인 헤이즐넛아메리카노,3700,디카페인 아메리카노에 헤이즐넛의 풍성한 향과 달콤함을 담아 향긋하고 부드럽게 즐기는 커피.,0,0,"1,2,5,9",0,0,0,0,"1,15",0,0,0
4,디카페인,4,HOT,디카페인 바닐라아메리카노,3700,디카페인 아메리카노에 바닐라의 부드러운 향과 달콤함을 조화롭게 담아낸 커피.,0,0,"1,2,5,6,7,8",0,0,0,0,"1,15",0,0,0
5,디카페인,5,HOT,디카페인 카페라떼,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 라떼.,0,0,"1,2,5",0,"1,8",0,"1,12","1,15","1,13,14",0,0
6,디카페인,6,HOT,디카페인 바닐라라떼,4400,디카페인으로 즐기는 바닐라의 짙은 향과 풍부한 폼 밀크의 조화가 인상적인 달콤한 라떼.,0,0,"1,2,5",0,0,0,0,"1,15","1,13,14",0,0
7,디카페인,7,HOT,디카페인 연유라떼,4900,"디카페인 에스프레소 샷, 부드러운 우유 그리고 달콤한 연유가 조화롭게 어우러진 라떼.",0,0,"1,2,5",0,0,"1,11",0,"1,15","1,13,14",0,0
8,디카페인,8,HOT,디카페인 카라멜마끼아또,4700,폼 밀크 속에 진한 디카페인 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피,0,0,"1,2,5",0,0,0,0,"1,15","1,13,14",0,0
9,디카페인,9,HOT,디카페인 카페모카,4900,"초코를 만나 풍부해진 디카페인 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.",0,"19,20","1,2,5",0,0,0,0,"1,15","1,13,14",0,0
10,디카페인,10,HOT,디카페인 카푸치노,3900,디카페인 에스프레소와 부드러운 우유가 어우러져 고소한 풍미를 완성한 카푸치노.,"21,22",0,"1,2,5","1,9",0,0,"1,12","1,15","1,13,14",0,0
