choose_id,eng_name,kor_name,noraml_drink,mega_drink
1,no_choice,선택x,0,0
2,coffee_weak,연하게,0,0
3,coffee_add_one,샷 추가,500,700
4,coffee_add_two,2샷 추가,1000,1200
5,decaffein_shot,디카페인 샷 추가,1000,1200
6,vanilia_syrup_add,바닐라시럽추가,500,700
7,light_vanilia_changed,라이트바닐라시럽변경,300,500
8,light_vanilia_add,라이트바닐라시럽추가,800,1000
9,syrup_add_h,헤이즐넛시럽추가,500,700
10,syrup_add_c,카라멜시럽추가,500,700
11,stevia_changed,스태비아변경,300,500
12,stevia_add,스태비아 추가 ,600,800
13,choose_milk_a,아몬드밀크변경,500,700
14,choose_milk_o,오트밀크변경,700,700
15,honey_add,꿀 추가,700,900
16,choose_topping_h,허니퐁시리얼,0,0
17,choose_topping_p,퐁시리얼,0,0
18,zero_cider_changed,제로사이다,0,0
19,whip_n,휘핑(O),0,0
20,whip_y,휘핑(X),0,0
21,cinnamon_y,시나몬(O),0,0
22,cinnamon_n,시나몬(X),0,0
23,coffee_weak_2,디카페인연하게,0,0
24,no_choice_h,헤이즐시럽추가안함,0,0
25,no_choice_light_vanlia_add,바닐라시럽추가안함,0,0
26,no_choice_light_vanlia_changed,라이트바닐라시럽변경안함,0,0
27,no_choice_stevia_add,스태비아추가선택안함,0,0
28,no_choice_milk,우유선택안함,0,0
29,no_choice_zero_cider,제로사이다변경안함0,0
30,no_choice_decaffein,디카페인선택안함,0,0
31,no_choice_stevia_changed,스태비아변경안함,0,0
