id,category_num,menu_name,sold_out
1,1,디카페인 아메리카노,0
2,2,디카페인 꿀아메리카노,0
3,3,디카페인 헤이즐넛아메리카노,0
4,4,디카페인 바닐라아메리카노,0
5,5,디카페인 카페라떼,0
6,6,디카페인 바닐라라떼,0
7,7,디카페인 연유라떼,0
8,8,디카페인 카라멜마끼아또,0
9,9,디카페인 카페모카,0
10,10,디카페인 카푸치노,0
11,11,디카페인 헤이즐넛라떼,0
12,12,디카페인 티라미수라떼,0
13,13,디카페인 메가리카노,0
14,14,디카페인 아메리카노,0
15,15,디카페인 꿀아메리카노,0
16,16,디카페인 헤이즐넛 아메리카노,0
17,17,디카페인 바닐라 아메리카노,0
18,18,디카페인 카페라떼,0
19,19,디카페인 바닐라라떼,0
20,20,디카페인 카라멜마끼아또,0
21,21,디카페인 카페모카,0
22,22,디카페인 카푸치노,0
23,23,디카페인 헤이즐넛라떼,0
24,24,디카페인 티라미수라떼,0
25,1,수박 화채 스무디,1
26,2,코코넛 커피 스무디,1
27,3,플레인퐁크러쉬,0
28,4,초코허니퐁크러쉬,0
29,5,슈크림허니퐁크러쉬,0
30,6,딸기퐁크러쉬,0
31,7,바나나퐁크러쉬,0
32,8,스모어블랙쿠키프라페,1
33,9,쿠키프라페,0
34,10,딸기쿠키프라페,0
35,11,민트프라페,0
36,12,커피프라페,0
37,13,리얼초코프라페,1
38,14,녹차프라페,0
39,15,유니콘프라페,0
40,16,스트로베리치즈홀릭,0
41,17,플레인요거트스무디,0
42,18,딸기요거트스무디,0
43,19,망고요거트스무디,0
44,1,수박 주스,0
45,2,레드오렌지자몽주스,0
46,3,샤인머스켓그린주스,0
47,4,딸기주스,0
48,5,딸기바나나주스,0
49,6,메가에이드,0
50,7,레몬에이드,0
51,8,블루레몬에이드,0
52,9,자몽에이드,0
53,10,청포도에이드,0
54,11,유니콘매직에이드(블루),0
55,12,유니콘매직에이드(핑크),0
56,13,체리콕,0
57,14,라임모히또,0
58,1,딸기라떼,0
59,2,아이스초코,0
60,3,오레오초코라떼,0
61,4,메가초코,0
62,5,녹차라떼,0
63,6,곡물라떼,0
64,7,고구마라떼,0
65,8,토피넛라떼,0
66,9,로얄밀크티라떼,0
67,10,흑당라떼,0
68,11,흑당밀크티라떼,0
69,12,흑당버블라떼,0
70,13,흑당버블밀크티라떼,0
71,14,핫초코,0
72,15,메가초코,0
73,16,로얄밀크티라떼,0
74,17,녹차라떼,0
75,18,고구마라떼,0
76,19,곡물라떼,0
77,20,토피넛라떼,0
78,1,콜드브루오리지널,0
79,2,콜드브루라떼,0
80,3,콜드브루오리지널,0
81,4,콜드브루라떼,0
82,5,콜드브루 디카페인,0
83,6,콜드브루 디카페인,0
84,7,콜드브루 디카페인라떼,0
85,8,콜드브루 디카페인라떼,0
86,1,아메리카노,0
87,2,꿀아메리카노,0
88,3,헤이즐넛아메리카노,0
89,4,바닐라아메리카노,0
90,5,카페라떼,0
91,6,바닐라라떼,0
92,7,연유라떼,0
93,8,카라멜마끼야또,0
94,9,카페모카,0
95,10,카푸치노,0
96,11,헤이즐넛라떼,0
97,12,티라미수라떼,0
98,1,메가리카노,0
99,2,아메리카노,0
100,3,꿀아메리카노,0
101,4,헤이즐넛아메리카노,0
102,5,바닐라아메리카노,0
103,6,큐브라떼,0
104,7,카페라떼,0
105,8,바닐라라떼,0
106,9,카라멜마끼아또,0
107,10,카페모카,0
108,11,카푸치노,0
109,12,헤이즐넛라떼,0
110,13,티라미수라떼,0
111,1,트로피컬 용과 티플레져,0
112,2,복숭아아이스티,0
113,3,허니자몽블랙티,0
114,4,사과유자차,0
115,5,유자차,0
116,6,레몬차,0
117,7,자몽차,0
118,8,녹차,0
119,9,페퍼민트,0
120,10,캐모마일,0
121,11,얼그레이,0
122,12,허니자몽블랙티,0
123,13,사과유자차,0
124,14,유자차,0
125,15,레몬차,0
126,16,자몽차,0
127,17,녹차,0
128,18,페퍼민트,0
129,19,캐모마일,0
130,20,얼그레이,0
131,1,첨벙첨벙간식꾸러미,0
132,2,오레오초코퐁파르페,0
133,3,딸기크림퐁파르페,0
134,4,그레놀라스모어쿠키,0
135,5,크로크무슈,0
136,6,미트파이,0
137,7,버터버터소금빵,0
138,8,제주당근에그마요샌드위치,0
139,9,허니버터피자,0
140,10,마르게리타피자,0
141,11,경산대추과즐,0
142,12,장수사과비건젤리,0
143,13,햄앤치즈샌드,0
144,14,아이스허니와앙슈,0
145,15,몽쉘케이크,0
146,16,말차스모어쿠키,0
147,17,초코스모어쿠키,0
148,18,감자빵,0
149,19,유니콘프라페마카롱,0
150,20,쿠키프라페마카롱,0
151,21,메가초코마카롱,0
152,22,딸기요거트마카롱,0
153,23,치즈케익,0
154,24,초코케익,0
155,25,티라미수케익,0
156,26,허니브레드,0
157,27,핫도그,0
158,28,메가쿠기(초코칩),0
159,29,메가쿠키(마카다미아),0
160,30,플레인크로플,0
161,31,아이스크림크로플,0
